period,temp_max_mean,temp_max_std,temp_mean_mean,temp_mean_std,humidity_mean_mean,humidity_mean_std,humidity_min_mean,humidity_min_std,rain_mm_mean,rain_mm_std,light_mean_mean,light_mean_std
1,28.943611111111114,1.6290682692649578,21.186168981481487,0.977735195032096,65.45833333333334,8.452311554056717,40.32527777777778,8.816743389746497,0.05,0.13064825110670783,440.2244212962963,33.97908767103353
2,28.964444444444446,1.633473975491473,21.177557870370375,0.9691202373239054,65.25666666666667,8.472458293437846,40.18027777777778,8.811685272067534,0.05,0.13064825110670783,440.5269675925926,34.02472148243968
3,29.023611111111112,1.6058294238709176,21.217962962962968,0.9939020290715671,64.96336805555556,8.35502481184415,39.98694444444445,8.720621639448437,0.05,0.13064825110670783,441.6266203703704,33.569671754936174
4,29.074444444444445,1.6070887825645161,21.23738425925926,0.9998941994393951,64.71215277777777,8.248485344384905,39.787777777777784,8.705839502492985,0.05,0.13064825110670783,441.60370370370373,33.59318185676638
5,29.28472222222223,1.4265713312311712,21.34056712962963,0.9225165643877953,63.9325,7.513387068961933,38.85166666666667,7.693481467328207,0.04000000000000001,0.12205143065174585,445.57546296296294,29.74382619755101
6,29.399722222222227,1.4458529733558458,21.434907407407408,0.879946099259995,63.29969907407408,7.219431646474902,38.372499999999995,7.8244214865775765,0.04000000000000001,0.12205143065174585,447.4616898148148,29.229629738088526
7,29.412222222222223,1.435364661459428,21.44876157407407,0.8639086756096234,62.948321759259265,7.006820522764241,38.149166666666666,7.749083912610206,0.04000000000000001,0.12205143065174585,446.3467592592593,29.446660002768795
8,29.4625,1.4491934439304623,21.44754629629629,0.8639350427893874,62.4484375,7.07400559955613,37.785555555555554,7.86893685990911,0.04000000000000001,0.12205143065174585,447.28067129629636,29.380871650610764
9,29.510833333333334,1.4929819058730642,21.447280092592585,0.8637240690956607,61.94748842592592,7.219385999335622,37.33722222222222,8.0054587259267,0.04000000000000001,0.12205143065174585,447.1184027777778,29.285503184980563
10,29.575833333333332,1.6050497270915882,21.446550925925923,0.8622632365888608,61.50908564814815,7.4602445275554246,36.82555555555555,8.42310523429423,0.04000000000000001,0.12205143065174585,447.21527777777777,29.354687029433613
11,29.679166666666667,1.7002926134240444,21.462488425925926,0.8969742610390333,61.11207175925925,7.431429119839482,36.31805555555555,8.42524317876512,0.02666666666666667,0.10148325268098496,448.3634259259259,29.306833953098323
12,29.855000000000004,1.364409054853242,21.60912037037037,0.8185873503486197,60.283726851851846,6.01377980527007,35.39555555555555,6.129681232974514,0.02666666666666667,0.10148325268098496,452.04745370370375,21.727624224746837
13,29.94416666666667,1.346574250698296,21.668252314814815,0.8021293208614397,59.762673611111104,5.317354121995247,35.06305555555556,5.906303731671231,0.013333333333333334,0.07302967433402216,454.34236111111113,17.535783051822378
14,30.03916666666667,1.3652977970804185,21.721956018518515,0.8086464818267741,59.07856481481481,4.715470242219962,34.58138888888888,5.771662378033087,0.0,0.3441994805962788,455.3695601851852,17.038696134125033
15,30.12666666666667,1.3286454946955235,21.731261574074075,0.8126969169560483,58.54356481481481,4.423432805563866,34.05972222222222,5.549584950193349,0.0,0.3441994805962788,455.8589120370371,17.129965830934726
