date,anomaly_score,anomaly_severity
14,0.517352021919163,NORMAL
15,0.488137298692054,NORMAL
16,0.48439065195142544,NORMAL
17,0.429494589603866,NORMAL
18,0.4122357943338245,NORMAL
19,0.4134815850175582,NORMAL
20,0.4292853229619754,NORMAL
21,0.4340212467269899,NORMAL
22,0.42799756576821246,NORMAL
23,0.44324220800131564,NORMAL
24,0.4383501773505919,NORMAL
25,0.45703527571384245,NORMAL
26,0.4863058017037575,NORMAL
27,0.47871893545718863,NORMAL
28,0.47111306707573586,NORMAL
29,0.4656383369243534,NORMAL
30,0.44087525698846103,NORMAL
31,0.45793453082309615,NORMAL
32,0.4477419325720439,NORMAL
33,0.4477047723425562,NORMAL
34,0.42582716486704175,NORMAL
35,0.4452693546618318,NORMAL
36,0.4473616850412707,NORMAL
37,0.4249617394744077,NORMAL
38,0.4255394792126617,NORMAL
39,0.47349900191627986,NORMAL
40,0.4312030340041975,NORMAL
41,0.42466885655389996,NORMAL
42,0.49146179970374126,NORMAL
43,0.4702785713887436,NORMAL
44,0.4683300210965278,NORMAL
45,0.4600360130449051,NORMAL
46,0.4645520405925561,NORMAL
47,0.47331598523812485,NORMAL
48,0.4713084096607792,NORMAL
49,0.43300936220755826,NORMAL
50,0.43907349677459445,NORMAL
51,0.4283094174770343,NORMAL
52,0.43374477825403895,NORMAL
53,0.44354857734758474,NORMAL
54,0.446294434871082,NORMAL
55,0.4776111185789345,NORMAL
56,0.4501389213310041,NORMAL
57,0.4454398441072926,NORMAL
58,0.45585206141617846,NORMAL
59,0.46135267803459934,NORMAL
60,0.49373667663595167,NORMAL
61,0.49918301545468985,NORMAL
62,0.4732260714737732,NORMAL
63,0.48217912004931623,NORMAL
64,0.47151078662687845,NORMAL
65,0.4904289789620418,NORMAL
66,0.5056272370438984,NORMAL
67,0.5341627086060503,WATCH
68,0.5519942838839149,WATCH
69,0.539918380564681,WATCH
70,0.5492713913319194,WATCH
71,0.545411673265335,WATCH
72,0.5576527926999844,WATCH
73,0.6628662331463179,CRITICAL
74,0.5485804292258794,WATCH
75,0.5377869921541896,WATCH
76,0.593974843712296,WARNING
77,0.5110199403862198,NORMAL
78,0.5035044104697106,NORMAL
79,0.5013377533766353,NORMAL
80,0.4748114904805079,NORMAL
81,0.56940577387652,WARNING
82,0.48406729990696973,NORMAL
83,0.572936708390127,WARNING
84,0.4715146857217415,NORMAL
85,0.4733964430892305,NORMAL
86,0.48652414352355017,NORMAL
87,0.5134985214425883,NORMAL
88,0.4943900134494229,NORMAL
89,0.5503933515929234,WATCH
90,0.48049481881773354,NORMAL
91,0.4761354163224017,NORMAL
92,0.49529057756794226,NORMAL
93,0.5284357516721963,WATCH
94,0.4792483449694742,NORMAL
95,0.47757633024482327,NORMAL
96,0.6236794273406182,CRITICAL
97,0.47630447274419924,NORMAL
98,0.4692470441364075,NORMAL
99,0.512432590639149,NORMAL
100,0.5237894927801907,NORMAL
101,0.4960235203350678,NORMAL
102,0.506571058931332,NORMAL
103,0.4564846355858157,NORMAL
104,0.4242680960488805,NORMAL
105,0.42494692179841803,NORMAL
106,0.4060549710131615,NORMAL
107,0.4092720212882439,NORMAL
108,0.4022221868174738,NORMAL
109,0.4010907778442381,NORMAL
110,0.407873949375101,NORMAL
111,0.4029559007913602,NORMAL
112,0.40411229024896017,NORMAL
113,0.4498578531809897,NORMAL
114,0.42139236132033275,NORMAL
115,0.41465255970690607,NORMAL
116,0.406921490008787,NORMAL
117,0.4212678872120035,NORMAL
118,0.44398694917889003,NORMAL
119,0.47596659337383457,NORMAL
120,0.4415082907192597,NORMAL
121,0.45874178206214766,NORMAL
122,0.4364978335177428,NORMAL
123,0.44667591432068676,NORMAL
124,0.4522535877841482,NORMAL
125,0.4558475407530249,NORMAL
126,0.4906076748721247,NORMAL
127,0.46585096789786484,NORMAL
128,0.4853670732636026,NORMAL
129,0.4701198581287719,NORMAL
130,0.4689316715109558,NORMAL
131,0.4791318867761158,NORMAL
132,0.4715288896071015,NORMAL
133,0.4707185583982912,NORMAL
134,0.6027496489811,WARNING
135,0.49204640309796077,NORMAL
136,0.5493637605811481,WATCH
137,0.47068466118820573,NORMAL
138,0.4947924949359095,NORMAL
139,0.4970662676237072,NORMAL
140,0.4866803244391266,NORMAL
141,0.4301736134489724,NORMAL
142,0.4097796706652939,NORMAL
143,0.42624321811414595,NORMAL
144,0.40649497342158675,NORMAL
145,0.43719087111948773,NORMAL
146,0.4361124361820865,NORMAL
147,0.40189459184918097,NORMAL
148,0.39530155586595517,NORMAL
149,0.5273978673812598,WATCH
150,0.39520823892121615,NORMAL
151,0.4288420856638321,NORMAL
152,0.39174748913887125,NORMAL
153,0.396762216174011,NORMAL
154,0.39065461525380446,NORMAL
155,0.39625539551040395,NORMAL
156,0.38999537840020326,NORMAL
157,0.40105798262186615,NORMAL
158,0.3977950131761338,NORMAL
159,0.3940202126068901,NORMAL
160,0.3803863349620835,NORMAL
161,0.39242329479285637,NORMAL
162,0.4038495014108429,NORMAL
163,0.39876740769785746,NORMAL
164,0.39641892720269706,NORMAL
165,0.3901568325105472,NORMAL
166,0.395435613065064,NORMAL
167,0.521025942981376,NORMAL
168,0.43042806689281005,NORMAL
169,0.4342215419219734,NORMAL
170,0.5585553547354659,WATCH
171,0.4541120731239818,NORMAL
172,0.4631918520772204,NORMAL
173,0.42839220331668776,NORMAL
174,0.4200398046727348,NORMAL
175,0.40395458344762925,NORMAL
176,0.4164401527667391,NORMAL
177,0.39688501475323884,NORMAL
178,0.40167248575922804,NORMAL
179,0.41598292137581655,NORMAL
180,0.4121225676284329,NORMAL
181,0.4193686246728945,NORMAL
182,0.41351117220594674,NORMAL
183,0.4665542776630297,NORMAL
184,0.43812280789738484,NORMAL
185,0.4227742519103796,NORMAL
186,0.42239487771272255,NORMAL
187,0.42943773309074995,NORMAL
188,0.4144635307845197,NORMAL
189,0.4186908749242692,NORMAL
190,0.4253519230453796,NORMAL
191,0.44508988129174076,NORMAL
192,0.44791505185492847,NORMAL
193,0.438847165782668,NORMAL
194,0.42315349275737435,NORMAL
195,0.4133899768831909,NORMAL
196,0.4330874506120755,NORMAL
197,0.40964173489835687,NORMAL
198,0.4095504126483942,NORMAL
199,0.4215007335923142,NORMAL
200,0.42404654460985414,NORMAL
201,0.4180461616808846,NORMAL
202,0.4340793565315994,NORMAL
203,0.521119019680722,NORMAL
204,0.43487488430588583,NORMAL
205,0.41906240529149724,NORMAL
206,0.41970329020969904,NORMAL
207,0.44816386098053923,NORMAL
208,0.43707313947163573,NORMAL
209,0.5947800084335901,WARNING
210,0.4252655981919364,NORMAL
211,0.43219315963929544,NORMAL
212,0.4162361946690813,NORMAL
213,0.41601332639166955,NORMAL
214,0.4262071421358742,NORMAL
215,0.4221803251526488,NORMAL
216,0.4322832491155425,NORMAL
217,0.4534680101759709,NORMAL
218,0.427566551913995,NORMAL
219,0.43013609769833644,NORMAL
220,0.4380106330420871,NORMAL
221,0.41779832809731166,NORMAL
222,0.41885455926221865,NORMAL
223,0.42988747962832596,NORMAL
224,0.4300553171463354,NORMAL
225,0.49761267898692674,NORMAL
226,0.468965410370545,NORMAL
227,0.47071898709499166,NORMAL
228,0.44858480321233213,NORMAL
229,0.44616585330356157,NORMAL
230,0.46271988476078824,NORMAL
231,0.4382761794862681,NORMAL
232,0.4707494429532851,NORMAL
233,0.46437452175857463,NORMAL
234,0.4280189885674137,NORMAL
235,0.43573273352008235,NORMAL
236,0.4424703355402259,NORMAL
237,0.42461819322443867,NORMAL
238,0.4350959651870648,NORMAL
239,0.44601536278489845,NORMAL
240,0.4609885822551657,NORMAL
241,0.48978436846436335,NORMAL
242,0.5092054582112213,NORMAL
243,0.4998390805675608,NORMAL
