year_month,NDVI,precipitation
2015-01,4546.5,0.31074580550193787
2015-02,4060.5,1.1083389520645142
2015-03,4131.5,1.7991461753845215
2015-04,5036.5,8.586440086364746
2015-05,4498.5,3.5045578479766846
2015-06,4920.5,0.8389661312103271
2015-07,4097.5,0.5631269216537476
2015-08,3590.5,0.33438605070114136
2015-09,3582.0,0.19832341372966766
2015-10,3735.0,2.678744077682495
2015-11,3698.0,6.66295051574707
2015-12,4976.0,3.048297882080078
2016-01,5111.0,2.448031187057495
2016-02,4904.5,0.9139217138290405
2016-03,4110.5,1.5367836952209473
2016-04,5387.5,7.020195960998535
2016-05,5784.5,4.023024559020996
2016-06,3791.0,0.77090984582901
2016-07,4164.0,0.23773448169231415
2016-08,3891.5,0.4524187445640564
2016-09,3554.0,0.29062560200691223
2016-10,2573.0,1.2028602361679077
2016-11,4891.0,5.770131587982178
2016-12,4453.0,0.7462461590766907
2017-01,4190.0,0.601918637752533
2017-02,4117.5,1.3829675912857056
2017-03,3866.5,1.177884578704834
2017-04,3817.0,3.226990222930908
2017-05,3865.0,3.886993646621704
2017-06,4643.5,0.5508530735969543
2017-07,2186.0,0.6173126101493835
2017-08,3638.0,0.8398877382278442
2017-09,3880.5,0.5554617643356323
2017-10,4079.0,2.348402261734009
2017-11,4460.5,4.385129451751709
2017-12,5081.0,0.5685300230979919
2018-01,4280.5,0.9044896364212036
2018-02,3949.5,0.8080262541770935
2018-03,5115.5,6.94532585144043
2018-04,5050.5,12.708535194396973
2018-05,3850.0,9.476021766662598
2018-06,4560.5,1.9517185688018799
2018-07,6103.0,1.0081087350845337
2018-08,3391.5,1.0407118797302246
2018-09,3821.5,0.5164505243301392
2018-10,3941.0,1.3713996410369873
2018-11,4518.5,3.4374353885650635
2018-12,4833.0,4.574249744415283
2019-01,4845.0,0.5795760154724121
2019-02,4063.5,0.6287179589271545
2019-03,3589.5,0.7312065958976746
2019-04,3926.5,5.053981304168701
2019-05,2058.5,2.362121343612671
2019-06,4510.0,1.5932674407958984
2019-07,3825.5,1.18804132938385
2019-08,4306.5,0.6663212180137634
2019-09,2983.5,0.8585020303726196
2019-10,3165.0,7.386336326599121
2019-11,5384.5,8.599807739257812
2019-12,4782.5,7.298434734344482
2020-01,4291.5,4.523297309875488
2020-02,5018.5,2.112265110015869
2020-03,5085.0,5.518547058105469
2020-04,5841.5,11.934197425842285
2020-05,4535.5,3.6257922649383545
2020-06,4999.5,1.8263318538665771
2020-07,4208.0,0.559022068977356
2020-08,4038.5,0.4003134071826935
2020-09,3713.0,0.7001727819442749
2020-10,3550.0,1.5774798393249512
2020-11,5362.0,3.9234602451324463
2020-12,4701.5,1.7413272857666016
2021-01,4844.0,1.1244516372680664
2021-02,4420.5,1.9513750076293945
2021-03,4070.5,1.6990002393722534
2021-04,4879.0,4.149172306060791
2021-05,5075.0,5.749446868896484
2021-06,3438.5,0.3147123157978058
2021-07,4278.5,0.9901654720306396
2021-08,3947.5,0.597140371799469
2021-09,3522.5,0.20873509347438812
2021-10,3861.0,1.5692857503890991
2021-11,4031.0,4.493988513946533
2021-12,5384.0,3.42854905128479
2022-01,4960.5,1.0879665613174438
2022-02,4030.5,1.0593591928482056
2022-03,4071.0,1.3889403343200684
2022-04,3085.0,4.600971698760986
2022-05,5546.5,1.62510347366333
2022-06,4641.0,0.3651003837585449
2022-07,2566.5,0.40354201197624207
2022-08,2618.0,0.35365942120552063
2022-09,3179.5,0.38170671463012695
2022-10,3200.0,0.8517486453056335
2022-11,3164.5,5.712860584259033
2022-12,4853.5,0.8728109002113342
2023-01,4168.5,0.9415769577026367
2023-02,3689.5,0.18486933410167694
2023-03,2353.5,3.4857914447784424
2023-04,3829.0,6.178968906402588
2023-05,5049.5,2.320563554763794
2023-06,4116.5,0.570326030254364
2023-07,3720.0,0.2804156243801117
2023-08,3601.0,0.2165784388780594
2023-09,4408.0,0.48550546169281006
2023-10,3765.0,2.1916069984436035
2023-11,5307.5,10.168329238891602
2023-12,5586.5,1.8698843717575073
2024-01,3008.5,3.0471413135528564
2024-02,4823.0,1.2311408519744873
2024-03,4276.0,3.465353488922119
2024-04,5301.0,20.8303279876709
2024-05,4791.0,8.353372573852539
2024-06,5142.5,0.976571261882782
2024-07,4905.5,1.2140896320343018
2024-08,3060.0,0.2364553064107895
2024-09,3906.5,0.7809480428695679
2024-10,2835.0,1.2374358177185059
2024-11,4095.0,6.452391624450684
2024-12,5416.5,2.4174845218658447
2025-01,4980.0,2.7810184955596924
2025-02,4235.5,0.13021300733089447
2025-03,3339.0,4.569944858551025
2025-04,5435.5,6.835092067718506
2025-05,5694.0,3.1362667083740234
2025-06,4405.0,0.7186686396598816
2025-07,3587.5,0.2782529890537262
2025-08,4565.0,0.811252236366272
2025-09,4426.5,0.4327598512172699
2025-10,4004.0,3.6516849994659424
2025-11,5622.0,1.8513133525848389
2025-12,5172.0,3.335484266281128
2026-01,5132.5,0.30077192187309265
2026-02,3152.0,5.667262077331543
2026-03,3082.0,7.031634330749512
2026-04,4453.5,5.849179267883301
2026-05,4362.0,2.4774322509765625
2026-06,5466.5,0.2869430482387543
2026-07,4727.5,0.40509307384490967
2026-08,3799.0,
2026-09,,
2026-10,,
2026-11,,
2026-12,,
