date,rain_7d,rain_30d,humidity_7d,humidity_min_7d,tempmax_7d,light_7d,humidity_trend,temp_trend,dry_spell,temp_mean_z,humidity_mean_z,rain_mm_z,rain_deficit_30d,y,stress_score
14,0.4,1.1,71.77137896825397,38.275,31.15,429.31448412698415,0.35813492063492447,1.3499999999999979,0,-2.3794117319643395,2.149445839503109,-0.44552426447725796,0.8655172413793104,0,0.17614026126197235
15,0.8,1.5,71.59181547619048,38.275,31.15,425.55059523809524,-0.6444940476190482,1.3499999999999979,0,-0.7219238671981483,1.0221777021138756,2.3219501553969644,0.40000000000000013,0,0.0842104819944832
16,1.2000000000000002,1.9000000000000001,71.79087301587302,38.275,31.15,421.7296626984127,-0.9681547619047564,1.3499999999999979,0,-0.28167035284800424,0.9328704302366652,2.678948987339564,0.0,0,0.0
17,1.2000000000000002,1.9000000000000001,71.7859126984127,38.275,31.15,424.6656746031746,-1.6131944444444457,2.083333333333332,0,0.7077383717373535,0.37376851201838834,-0.3827069981913663,0.0,0,0.035386918586867676
18,1.2000000000000002,1.9000000000000001,71.78874007936508,38.275,31.15,422.1785714285715,-1.6306547619047649,1.0999999999999979,0,-0.3392074810007334,0.2684176968028471,-0.3827069981913663,0.0,0,0.0
19,1.2000000000000002,1.9000000000000001,71.66607142857143,37.2,29.55,421.9732142857143,-0.5590773809523881,-1.5999999999999979,0,0.04142980552529714,-0.20172388733338192,-0.3827069981913663,0.0,0,0.01888181422071335
20,0.8,1.9000000000000001,71.03298611111111,32.4,31.875,427.53472222222223,-0.5891369047619008,0.7250000000000014,0,0.8476224809508248,-0.19231191642370285,-0.3827069981913663,0.0,0,0.05840711708284981
21,0.8,1.9000000000000001,68.44275793650793,32.4,31.875,445.42013888888886,-3.3286210317460387,0.7250000000000014,0,0.7369992712323565,0.16985441668032059,-0.3827069981913663,0.0,0,0.03684996356161783
22,0.4,1.9000000000000001,66.18819444444445,32.4,31.875,456.63640873015873,-5.403621031746027,0.7250000000000014,0,-0.19377600465386105,-0.6063066663349813,-0.3277306934167251,0.0,0,0.05052555552791511
23,0.0,1.9000000000000001,63.91155753968254,32.4,31.875,461.69593253968253,-7.879315476190477,0.7250000000000014,0,-0.7878218237727664,-0.7324047868613172,-0.3277306934167251,0.0,0,0.0610337322384431
24,0.0,1.9000000000000001,62.103075396825396,32.4,31.875,463.4042658730159,-9.682837301587305,0.7250000000000014,0,-0.20595723340222374,-0.9077547393104611,-0.3277306934167251,0.0,0,0.07564622827587177
25,0.0,1.9000000000000001,60.24712301587301,32.4,31.875,464.23859126984127,-11.541617063492076,0.7250000000000014,0,-0.3275280535552257,-1.0903328707878448,-0.3277306934167251,0.0,0,0.09086107256565373
26,0.0,1.9000000000000001,59.28377976190476,32.4,31.875,462.6706349206349,-12.382291666666667,2.3249999999999993,0,-0.3031794936548398,-0.7124320211902474,-0.3277306934167251,0.0,0,0.059369335099187286
27,0.0,1.9000000000000001,58.59930555555555,33.35,30.125,461.0729166666667,-12.433680555555561,-1.75,0,0.07447025483423618,-0.3945993806901402,-0.3277306934167251,0.0,0,0.03660679446589016
28,0.0,1.9000000000000001,56.87237103174603,29.675,30.225,460.03720238095235,-11.570386904761904,-1.6499999999999986,0,0.530345227484535,-0.9537087506574452,-0.2627691364061219,0.0,0,0.10599299059568051
29,0.0,1.9000000000000001,57.313541666666666,29.675,30.225,451.8501984126984,-8.874652777777783,-1.6499999999999986,0,-1.005401877892146,0.3627586969536479,-0.2627691364061219,0.0,0,0.0
30,0.0,1.5,57.85342261904761,29.675,30.225,447.4494047619047,-6.058134920634927,-1.6499999999999986,0,-0.603241026391056,0.3815141491031874,-0.18257418583505536,0.0,0,0.0
31,0.0,1.5,57.75367063492064,29.675,30.225,448.42162698412693,-4.349404761904758,-1.6499999999999986,0,-1.7185066442291634,-0.6762806926293244,0.0,0.0,0,0.05635672438577704
32,0.0,1.5,57.95069444444444,28.4,30.575,450.4588293650794,-2.296428571428571,-1.3000000000000007,0,-1.3099531758959313,-0.5491168484409347,0.0,0.0,0,0.04575973737007789
33,0.0,1.5,57.31339285714286,23.05,30.875,452.5357142857143,-1.9703869047619023,-1.0,0,0.18988706058170268,-1.4135943814305874,0.0,0.0,0,0.1272938848149674
34,0.0,1.5,57.73482142857143,23.05,30.875,451.4985119047619,-0.8644841269841237,0.75,0,0.2400408923691166,0.8466946229831874,0.0,0.0,0,0.01200204461845583
35,0.0,1.5,59.15515873015873,23.05,30.875,448.9136904761905,2.2827876984127045,0.6499999999999986,0,0.7058132502702479,1.5570936906223407,0.0,0.0,0,0.03529066251351239
36,0.0,1.5,59.441964285714285,23.05,30.875,449.29315476190476,2.128422619047619,0.6499999999999986,0,-0.042419049435937516,1.8024658905419844,0.0,0.0,0,0.0
37,0.0,1.2000000000000002,59.15897817460318,23.05,31.075,454.6537698412699,1.3055555555555642,0.8499999999999979,0,0.3064141657836939,0.7223841108867707,0.0,0.0,0,0.015320708289184696
38,0.0,1.2000000000000002,59.37931547619048,23.05,31.3,454.2142857142857,1.625644841269839,1.0749999999999993,0,0.5172081348774313,0.06270585455091952,0.0,0.0,0,0.025860406743871567
39,0.0,1.2000000000000002,60.222073412698414,23.05,31.3,447.8814484126984,2.271378968253977,0.7250000000000014,0,-1.5712147038637598,1.4026702206831383,0.0,0.0,0,0.0
40,0.0,1.2000000000000002,60.49955357142857,29.375,31.3,446.55853174603175,3.1861607142857125,0.4250000000000007,0,-0.7604773282411026,-0.8002881727123501,0.0,0.0,0,0.0666906810593625
41,0.0,1.2000000000000002,59.23720238095238,28.5,31.5,448.20982142857144,1.5023809523809533,0.625,0,-0.09277729452078924,-1.290875973232745,0.0,0.0,0,0.10757299776939543
42,0.0,1.2000000000000002,57.421081349206354,22.925,33.1,451.75396825396825,-1.7340773809523782,2.2250000000000014,0,0.932466182974719,-1.6611136985677595,0.0,0.0,0,0.18504945069604922
43,0.0,0.8,56.193204365079374,22.925,33.1,459.73412698412693,-3.2487599206349103,2.2250000000000014,0,1.3908824955474008,-0.2990064290636591,0.0,0.0,0,0.09446132719934164
44,0.0,0.8,56.13377976190476,22.925,33.1,457.0515873015873,-3.0251984126984155,2.025000000000002,0,1.1051765011085715,0.6225160775283887,0.0,0.0,0,0.05525882505542857
45,0.0,0.4,56.43313492063492,22.925,33.1,455.0391865079365,-2.946180555555557,1.8000000000000007,0,-0.040526717123150015,0.7335230570874358,0.0,0.0,0,0.0
46,0.0,0.0,55.2062003968254,22.925,33.1,460.3988095238095,-5.015873015873012,1.8000000000000007,0,0.22558137783931106,-0.5913985535384401,0.0,0.0,0,0.060562281686835556
47,0.0,0.0,55.05074404761905,22.925,33.1,461.4295634920635,-5.448809523809523,1.8000000000000007,0,-0.36588532346973757,-0.6523944595568495,0.0,0.0,0,0.05436620496307079
48,0.0,0.0,55.697023809523806,22.925,33.1,460.76041666666663,-3.5401785714285765,1.6000000000000014,0,-0.6122096415190053,0.23671179596012473,0.0,0.0,0,0.0
49,0.0,0.0,56.23090277777778,28.825,32.65,460.3869047619047,-1.190178571428575,-0.45000000000000284,0,0.0678041047427223,-0.3195326257326475,0.0,0.0,0,0.03001792404819007
50,0.0,0.0,56.20649801587302,28.825,31.675,461.5461309523809,0.013293650793642087,-1.4250000000000007,0,-0.8850705024065316,-0.18050098236576964,0.0,0.0,0,0.015041748530480804
51,0.0,0.0,55.73551587301587,28.825,31.675,463.75347222222223,-0.3982638888888914,-1.4250000000000007,0,0.3597584956796648,-0.09647373027505474,0.0,0.0,0,0.026027402306904465
52,0.0,0.0,55.35352182539682,28.825,31.675,463.2569444444444,-1.079613095238102,-1.4250000000000007,0,0.47011426392390526,0.13730534263648395,0.0,0.0,0,0.023505713196195262
53,0.0,0.0,55.81359126984127,28.825,31.424999999999997,462.8070436507937,0.6073908730158664,-1.6750000000000043,0,1.0433292260182856,0.120131120067975,0.0,0.0,0,0.052166461300914284
54,0.0,0.0,56.334722222222226,30.3,31.424999999999997,461.687003968254,1.2839781746031775,-1.6750000000000043,0,0.4598950487670801,0.01926492906567786,-0.17960530202677488,0.4838709677419355,1,0.42299392577339584
55,0.0,0.0,55.84375,26.025,32.6,461.53125,0.14672619047619406,-0.5,0,1.7443275776627576,-0.4915879173628063,-0.25012215979228897,0.7741935483870968,1,0.5281815219973724
56,0.0,0.0,56.95128968253969,26.025,32.6,453.32787698412693,0.7203869047619094,-0.04999999999999716,0,0.5197068787667826,0.5089541001239887,-0.29961972427211936,0.967741935483871,1,0.4259849306054329
57,0.0,0.0,56.87390873015873,26.025,32.6,449.31398809523813,0.6674107142857153,0.9250000000000007,0,0.19214410510670868,-0.42501566852995376,-0.32399754732092517,1.8387096774193548,1,0.44502496008909026
58,0.0,0.0,56.04290674603175,26.025,32.6,449.7261904761904,0.3073908730158763,0.9250000000000007,0,-0.005598828731954205,-0.971273239636408,-0.2821458662007947,4.741935483870968,1,0.4809393522826436
59,0.0,0.0,54.93343253968254,26.025,32.6,454.1999007936508,-0.4200892857142762,0.9250000000000007,0,0.016930369427835636,-1.1113458817613984,-0.29954327882012555,5.032258064516129,1,0.493458595797678
60,0.0,0.0,53.487896825396824,22.575,32.6,455.43650793650795,-2.3256944444444443,1.1750000000000043,0,0.4179669886774352,-1.362286854223542,-0.33152420853225073,5.612903225806453,1,0.5344221826881452
61,0.0,0.0,52.580109126984134,22.575,32.825,456.5917658730159,-3.754613095238092,1.4000000000000057,0,0.6227685953733828,-1.015150997300408,-0.3816942932309003,6.774193548387098,1,0.5157342871627595
62,0.0,0.0,53.056498015873025,22.575,32.825,454.58978174603175,-2.787251984126975,0.22500000000000142,0,0.7057996179103891,-0.4861028813964242,-0.3816942932309003,6.774193548387098,1,0.47579849529761115
63,0.0,0.0,52.70391865079365,22.575,32.825,458.86607142857144,-4.2473710317460345,0.22500000000000142,0,0.5152660557228437,-0.2702484994903117,-0.38169429323090037,6.774193548387098,1,0.44828395202939114
64,0.0,0.0,53.32743055555556,22.575,32.825,456.52430555555554,-3.5464781746031733,0.22500000000000142,0,0.751802816670851,-0.38190162063213023,-0.38169429323090037,6.774193548387098,1,0.46941521683860976
65,0.0,0.0,55.609375,22.575,32.825,446.3764880952381,-0.43353174603174693,0.22500000000000142,0,-0.27969641846905435,0.11439403744213845,-0.4086444134882517,7.258064516129033,1,0.39999994488889645
66,0.0,0.0,57.73715277777778,22.575,32.825,440.15724206349205,2.803720238095238,0.22500000000000142,0,0.3442629468399102,-0.14626741763659604,-0.45805632681209785,8.516129032258064,1,0.42940205184202046
67,0.0,0.0,58.98258928571429,25.75,32.825,432.51091269841265,5.4946924603174665,0.22500000000000142,0,1.1512673203191786,-0.9052133445412357,-0.4990277132014221,9.38709677419355,1,0.532997768782716
68,0.0,0.0,59.75625,30.45,31.875,426.85267857142856,7.176140873015868,-0.9500000000000028,0,1.389820930118304,-0.9024220455997891,-0.5460850568276733,10.548387096774196,1,0.5446928457187452
69,0.5,0.5,62.520585317460316,30.45,31.875,416.9632936507937,9.464087301587291,-0.9500000000000028,0,-0.5154176566342195,0.6222346612310081,0.22134693625566443,10.241935483870968,1,0.3813813458774123
70,0.8,0.8,65.96964285714286,30.45,31.875,403.09871031746036,13.265724206349205,-0.9500000000000028,0,-1.5647610671195757,1.183378636670607,-0.09582249284116727,10.038709677419355,1,0.3704761562953547
71,1.0,1.0,69.1327876984127,30.45,31.875,395.6547619047619,15.80535714285714,-0.9500000000000028,0,-1.7844629545536939,0.9169409129098283,-0.25786599054748643,9.935483870967744,1,0.3634217956752931
72,1.9000000000000001,1.9000000000000001,69.85133928571429,30.45,31.875,399.20535714285717,14.241964285714289,-0.9500000000000028,0,0.06089264807646744,0.0788550574922566,0.8393285182526026,9.035483870967743,1,0.3335460771072311
73,4.9,4.9,73.17108134920636,30.45,31.875,388.05109126984127,15.43392857142858,-0.9500000000000028,1,-1.829468612107041,1.3148133381963605,4.130912044652869,6.035483870967743,1,0.2274336081304567
74,5.2,5.2,76.29925595238095,30.45,31.875,395.46775793650795,17.316666666666656,-0.9500000000000028,0,-0.2872831316769381,0.47441295517242266,-0.12203407359115354,6.122580645161288,1,0.21629627719320627
75,5.800000000000001,5.800000000000001,79.0968253968254,32.9,29.425,399.04216269841265,19.340575396825393,-2.4499999999999993,0,-0.5354219294599409,0.2735066753874412,0.34670931235761604,5.619354838709674,0,0.19683614095502713
76,6.500000000000001,7.000000000000001,79.25982142857143,32.9,29.425,404.5912698412698,16.73923611111111,-2.4499999999999993,1,-0.4496683651609583,0.4256717391825044,1.2909820254291797,4.612903225806449,0,0.16555554187345792
77,6.200000000000001,7.000000000000001,78.29930555555555,32.9,29.425,417.3194444444444,12.32966269841269,-2.4499999999999993,0,-0.2326324676090083,0.40287378277981434,-0.6216489846436939,4.709677419354835,0,0.16088152896053054
78,6.000000000000001,7.000000000000001,77.44608134920635,32.9,29.425,417.5962301587301,8.313293650793653,-2.4499999999999993,0,0.17217070645310978,0.13557981477354103,-0.621648984643694,4.709677419354837,0,0.16949006428318605
79,5.1000000000000005,7.000000000000001,78.09950396825397,42.75,29.05,415.3392857142857,8.24816468253968,-2.8249999999999993,0,0.37076092297159313,0.10753603221488081,-0.6350845964762633,4.903225806451609,0,0.18330768000262118
80,2.6000000000000005,7.500000000000001,77.38392857142857,42.75,29.05,418.91914682539675,4.212847222222209,-2.8249999999999993,0,-0.8329101333291007,0.8905686180066203,0.15071006377776722,4.693548387096771,0,0.15396824134122883
81,3.6000000000000005,8.8,78.36478174603175,45.7,28.65,408.80059523809524,2.0655257936508065,-3.2250000000000014,1,-0.9631906165282881,1.029317195170419,1.2221699781251043,5.3290322580645135,0,0.15753423589750076
82,3.9,9.700000000000001,79.36661706349206,50.525,27.4,402.51537698412704,0.2697916666666629,-2.025000000000002,0,-0.9192704593130064,0.793558766968112,0.6263790183337398,4.622580645161287,0,0.12909909008542383
83,3.9000000000000004,10.9,80.77693452380952,50.525,27.425,400.81448412698415,1.5171130952380878,-2.0,1,-1.6403146075109725,1.6303800573044966,1.0674656131034534,3.6161290322580637,0,0.10631110424671651
84,4.1000000000000005,11.100000000000001,81.02356150793652,50.525,27.425,404.5967261904762,2.7242559523809717,-2.0,0,0.133427905643545,0.22806816783162162,-0.44622775355198335,3.803225806451609,0,0.10874931051071532
85,4.2,11.200000000000001,81.5312996031746,50.525,27.425,409.23065476190476,4.08521825396825,-2.0,0,0.08629859388944013,0.13970229241427737,-0.5860607630713023,3.509677419354839,0,0.09975351969755032
86,4.300000000000001,11.3,82.1778273809524,52.225,27.425,406.40426587301585,4.078323412698424,-1.625,0,-0.15928073056420566,0.4111406206483787,-0.5739027707048677,3.2161290322580633,0,0.08862221611713621
87,3.8000000000000003,11.3,80.87346230158731,44.224999999999994,29.15,420.2787698412699,3.4895337301587404,0.09999999999999787,0,1.2291661491085402,-1.0751735037056145,-0.709747105841207,3.0225806451612893,1,0.23547050795151048
